,,Parameter,Std. Error,t-statistic
Soybean,$\mu$,-0.16,0.17,-0.93
Soybean,$\omega$,4.61,2.93,1.58
Soybean,$\alpha_1$,0.0,0.05,0.0
Soybean,$\alpha_2$,0.45,0.23,1.99
Soybean,$\beta_1$,0.0,0.12,0.0
Soybean,$\beta_2$,0.0,0.24,0.0
Soybean,$\beta_3$,0.13,0.18,0.74
Soybean Oil,$\mu$,-0.11,0.12,-0.97
Soybean Oil,$\omega$,0.08,0.09,0.89
Soybean Oil,$\alpha_1$,0.02,0.06,0.3
Soybean Oil,$\alpha_2$,0.09,0.05,1.68
Soybean Oil,$\beta_1$,0.0,0.17,0.0
Soybean Oil,$\beta_2$,0.21,0.57,0.37
Soybean Oil,$\beta_3$,0.68,0.51,1.34
Soybean Meal,$\mu$,-0.03,0.02,-1.37
Soybean Meal,$\omega$,0.05,0.01,3.86
Soybean Meal,$\alpha_1$,0.1,0.07,1.36
Soybean Meal,$\alpha_2$,0.18,0.13,1.37
Soybean Meal,$\beta_1$,0.27,0.23,1.17
Soybean Meal,$\beta_2$,0.0,0.23,0.0
Soybean Meal,$\beta_3$,0.1,0.19,0.5
