,Soybean,Soybean,Soybean Oil,Soybean Oil,Soybean Meal,Soybean Meal
,Test statistic,p-value,Test statistic,p-value,Test statistic,p-value
1,0.18866635799110087,0.6640289216681265,0.6675703204638224,0.41389998851742327,0.08810621736671755,0.7665986559642755
2,1.4443799882767046,0.48568743777096446,1.8095920420553142,0.40462441155755613,0.15159013334249422,0.9270061615531244
3,1.448448530382004,0.6942184438897496,2.095752974766573,0.5527724432127223,0.19843769683390766,0.9778411120621904
4,2.203920820159847,0.6983115198958276,3.787110111472826,0.4355833174588565,0.19881981334027216,0.9953744118500631
5,3.183161689888612,0.6717714270342776,4.051703258237769,0.5419962383732368,0.3553777618965944,0.9964700603033619
6,3.7266738578489234,0.7136075503541714,5.270698020838925,0.5095920313624107,0.7593919512584792,0.9931185398717844
7,3.7433979324757516,0.8088130054455958,5.931304700527221,0.5477931324171283,1.7046501186198262,0.9743685534742008
8,4.258751798110269,0.8330559123039456,9.392429830700012,0.31027969051277776,1.7071114134665282,0.9887127132147726
9,7.140040440962176,0.62254179783872,9.47216520253339,0.39487810546505675,4.864658601652601,0.8459430576769724
10,8.599906165470227,0.5704471757740005,11.092469684946517,0.3503593101117113,4.864854657590005,0.9000209711651433
11,9.782986216448217,0.5500070157948954,11.104481401179767,0.4345521462744308,5.262205526200861,0.9178059568103564
12,9.953004561964702,0.6200836617227303,11.994500549773461,0.4461214119932446,5.3605821260040685,0.9448388621072683
13,10.002181295142874,0.6937559858860911,17.70739639355156,0.16894875423431685,8.177544470137603,0.8318441823324979
14,10.361918411235163,0.7352733872552877,18.126807899444927,0.20106623872612725,8.51761949586069,0.860656691600036
15,10.42398063591504,0.7922572962388807,18.48434939705743,0.238058160175596,9.262303425772767,0.8634077855402614
16,10.424374596184782,0.843547286596432,18.597794759739504,0.2900706278872047,13.635948411005144,0.6258145213396552
17,10.508134423405165,0.8809625210237753,19.15698188378682,0.3195963345710196,14.044625804454338,0.6639405604894578
18,11.244991203467409,0.8836725100569209,19.15698188791572,0.3822170385174583,15.696385690386144,0.6137273088488268
19,13.364002416559796,0.8194264820484213,21.378200105247426,0.3162844761093816,17.452071371974508,0.5592698556561877
20,14.806774491625935,0.7873551605633817,21.438871873166583,0.3717177410478832,18.66192280421671,0.5438889187511141
